Day,Hour,Title,Category,Prompt
1,0,ค่า fee แม่งสูงเกินมนุษย์!,Anti-Investor,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
1,1,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Marketplace,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
1,2,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Meme,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
1,3,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,News/Trend,"ด่า delivery platform, tone ตรงไปตรงมา"
1,4,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Branding/CTA,"comment เกาะข่าว, tone เสียดสี"
1,5,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Anti-Investor,"Call to action, zero-fee branding"
1,6,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Marketplace,"Jibe investor, punchline"
1,7,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Meme,"Compare cost, tone เจ็บแสบ"
1,8,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,News/Trend,Satire CEO / corporate greed
1,9,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Branding/CTA,"Direct, shareable"
1,10,ร้านค้าขายดี = user happy = investorเหงื่อตก,Anti-Investor,"Punchline, zero-fee pride"
1,11,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Marketplace,"Comment เกาะกระแส, tone เสียดสี"
1,12,ค่า fee แม่งสูงเกินมนุษย์!,Meme,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
1,13,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,News/Trend,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
1,14,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Branding/CTA,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
1,15,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Anti-Investor,"ด่า delivery platform, tone ตรงไปตรงมา"
1,16,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Marketplace,"comment เกาะข่าว, tone เสียดสี"
1,17,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Meme,"Call to action, zero-fee branding"
1,18,ลงทุนเกินควร = กำไรเกินควร = เสือก!,News/Trend,"Jibe investor, punchline"
1,19,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Branding/CTA,"Compare cost, tone เจ็บแสบ"
1,20,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Anti-Investor,Satire CEO / corporate greed
1,21,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Marketplace,"Direct, shareable"
1,22,ร้านค้าขายดี = user happy = investorเหงื่อตก,Meme,"Punchline, zero-fee pride"
1,23,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,News/Trend,"Comment เกาะกระแส, tone เสียดสี"
2,0,ค่า fee แม่งสูงเกินมนุษย์!,Branding/CTA,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
2,1,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Anti-Investor,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
2,2,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Marketplace,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
2,3,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Meme,"ด่า delivery platform, tone ตรงไปตรงมา"
2,4,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,News/Trend,"comment เกาะข่าว, tone เสียดสี"
2,5,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Branding/CTA,"Call to action, zero-fee branding"
2,6,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Anti-Investor,"Jibe investor, punchline"
2,7,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,Marketplace,"Compare cost, tone เจ็บแสบ"
2,8,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Meme,Satire CEO / corporate greed
2,9,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,News/Trend,"Direct, shareable"
2,10,ร้านค้าขายดี = user happy = investorเหงื่อตก,Branding/CTA,"Punchline, zero-fee pride"
2,11,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Anti-Investor,"Comment เกาะกระแส, tone เสียดสี"
2,12,ค่า fee แม่งสูงเกินมนุษย์!,Marketplace,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
2,13,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Meme,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
2,14,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,News/Trend,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
2,15,Grab แดกค่า fee 25% แต่ก็ไม่มี zero-fee,Branding/CTA,"ด่า delivery platform, tone ตรงไปตรงมา"
2,16,ข่าว: สตาร์ทอัพใหม่ เก็บค่า fee แพงอีกแล้ว,Anti-Investor,"comment เกาะข่าว, tone เสียดสี"
2,17,เสือก! ร้านค้าได้เต็ม ผู้ใช้ได้ถูก,Marketplace,"Call to action, zero-fee branding"
2,18,ลงทุนเกินควร = กำไรเกินควร = เสือก!,Meme,"Jibe investor, punchline"
2,19,ค่าอาหาร 100 แต่คุณกิน 75? แม่งอย่าให้ fee กิน,News/Trend,"Compare cost, tone เจ็บแสบ"
2,20,CEO บอก user สำคัญ แต่ dashboard กินกำไรเอง,Branding/CTA,Satire CEO / corporate greed
2,21,X platform แม่งคิดค่าธรรมเนียมสูง แค่คิดก็เสือกแล้ว,Anti-Investor,"Direct, shareable"
2,22,ร้านค้าขายดี = user happy = investorเหงื่อตก,Marketplace,"Punchline, zero-fee pride"
2,23,ข่าว: Delivery fee พุ่ง 30% คนไทยสะเทือน,Meme,"Comment เกาะกระแส, tone เสียดสี"
3,0,ค่า fee แม่งสูงเกินมนุษย์!,News/Trend,"ด่า investor/แพลตฟอร์มที่แดกกำไรเกินควร, tone เจ็บแสบ"
3,1,ร้านค้าขาย 100 ได้แค่ 80 แม่งยังคิดว่าโอเค?,Branding/CTA,"เปรียบเทียบค่าธรรมเนียมสูงกับร้านค้า, tone ฮา/จิกกัด"
3,2,คนไทยลำบาก ขณะที่ CEO นอนนับเงิน,Anti-Investor,"เสียดสีความเหลื่อมล้ำ, punchline shareable"
